country.b,country.a,exp.comp,imp.comp,statea,stateb,year,dispnum3,endyear,hiact,hostlev,outcome,fatality,victor,loser,is.war,pb.exps,pb.imps,delta.exp.comp,delta.imp.comp
Viet Nam,Cambodia,0.4772522931329714,0.2963633469813577,811,817,1962,2730,1962,0,No militarized action,5,0,0,0,1,0.5007509038569343,0.2629165340554272,0.02349861072396292,-0.03344681292593049
Honduras,Nicaragua,0.24028852411377916,0.4798920562160738,93,91,1962,2344,1962,17,Use of force,5,1,0,0,1,0.30875220236673284,0.4563425903782523,0.06846367825295369,-0.02354946583782147
Nepal,India,0.023851412019604997,0.025274717060796075,750,790,1962,1466,1962,17,Use of force,5,NA,0,0,1,0.1711374346366578,0.054432546708291236,0.1472860226170528,0.02915782964749516
Korea D P Rp,USA,0.040581103226299674,0.011528485963246876,2,731,1962,2188,1964,17,Use of force,5,1,0,0,1,0.024895440531097466,0.009396730730295275,-0.015685662695202208,-0.0021317552329516015
Korea D P Rp,Korea Rep.,0.1548213203841234,0.03512049136487419,732,731,1962,2188,1964,17,Use of force,5,1,0,0,1,0.2175839609824051,0.09081063355046023,0.06276264059828168,0.055690142185586045
Canada,Haiti,0.02337522129773961,0.19144499131385817,41,20,1963,1002,1963,16,Use of force,5,0,0,0,1,0.018823329552581963,0.22391618595099255,-0.004551891745157646,0.03247119463713438
USA,Ecuador,-7.142251897612031e-4,0.3580333503164624,130,2,1963,1803,1963,15,Use of force,7,0,0,0,1,-8.189751670081201e-4,0.167228826679699,-1.0474997724691697e-4,-0.1908045236367634
USA,Fm USSR,0.10459782780912755,0.05488720323277075,365,2,1963,2218,1963,16,Use of force,5,0,0,0,1,0.09347649433011564,0.037299476358502094,-0.01112133347901191,-0.017587726874268655
USA,Fm USSR,0.10459782780912755,0.05488720323277075,365,2,1963,2899,1963,12,Display of force,5,0,0,0,1,0.09347649433011564,0.037299476358502094,-0.01112133347901191,-0.017587726874268655
USA,Haiti,-5.631230285137455e-5,0.020063573614141014,41,2,1963,1002,1963,16,Use of force,5,0,0,0,1,-1.8237169233815308e-4,0.024270875757481977,-1.2605938948677853e-4,0.004207302143340964
Argentina,Chile,0.012695279878719715,0.2288126916177977,155,160,1963,1102,1963,0,No militarized action,5,0,0,0,1,0.004977456294520937,0.20648956067475535,-0.007717823584198778,-0.022323130943042335
Brazil,"France,Monac",0.01307497175343781,0.22404037326027892,220,140,1963,624,1963,7,Display of force,5,0,0,0,1,0.015609762091716573,0.18269091612789393,0.002534790338278763,-0.041349457132385
Chile,Argentina,0.012695279878719715,0.2288126916177977,160,155,1963,1102,1963,7,Display of force,5,0,0,0,1,0.004977456294520937,0.20648956067475535,-0.007717823584198778,-0.022323130943042335
Ecuador,USA,-7.142251897612031e-4,0.3580333503164624,2,130,1963,1803,1963,0,No militarized action,7,0,0,0,1,-8.189751670081201e-4,0.167228826679699,-1.0474997724691697e-4,-0.1908045236367634
Israel,Egypt,0.010880527342350068,0.17904104912010124,651,666,1963,3377,1963,17,Use of force,5,NA,0,0,1,0.010277331123629755,0.13227240627198417,-6.03196218720313e-4,-0.046768642848117076
Israel,Jordan,0.006337427434342725,0.1503412665262222,663,666,1963,1019,1965,17,Use of force,5,1,0,0,1,0.01062548883613716,0.07281934014015848,0.0042880614017944355,-0.07752192638606373
Japan,Indonesia,0.0031742492000373713,0.04318320805477619,850,740,1963,2894,1963,15,Use of force,5,0,0,0,1,0.0032452295562556306,0.04902573841235025,7.098035621825932e-5,0.005842530357574059
Iran,Fm USSR,0.12510498000772172,0.11181306145421253,365,630,1963,2897,1963,16,Use of force,5,NA,0,0,1,0.16270421810921706,0.1007918292357318,0.03759923810149535,-0.01102123221848074
Turkey,Greece,0.5361984410374937,0.13025640102287137,350,640,1963,1279,1964,17,Use of force,5,2,0,0,1,0.5411852970352078,0.3038840262318989,0.00498685599771409,0.17362762520902755
India,Pakistan,0.18188693933244124,0.7548682058540902,770,750,1963,1317,1963,14,Use of force,6,0,0,0,1,0.16783063616533722,0.7604653809470979,-0.014056303167104017,0.005597175093007722
India,Pakistan,0.18188693933244124,0.7548682058540902,770,750,1963,2630,1963,1,Threat to use force,5,0,0,0,1,0.16783063616533722,0.7604653809470979,-0.014056303167104017,0.005597175093007722
Malaysia,Indonesia,0.5585305589177008,0.3830216685052491,850,820,1963,1070,1965,17,Use of force,5,4,0,0,1,0.19301120226958865,0.3476915493947868,-0.3655193566481121,-0.0353301191104623
Pakistan,India,0.18188693933244124,0.7548682058540902,750,770,1963,1317,1963,0,No militarized action,6,0,0,0,1,0.16783063616533722,0.7604653809470979,-0.014056303167104017,0.005597175093007722
Pakistan,India,0.18188693933244124,0.7548682058540902,750,770,1963,2630,1963,0,No militarized action,5,0,0,0,1,0.16783063616533722,0.7604653809470979,-0.014056303167104017,0.005597175093007722
Thailand,Cambodia,0.32491302431694824,0.46215907286032226,811,800,1963,2623,1963,0,No militarized action,5,0,0,0,1,0.3823767818280309,0.41636035372040475,0.05746375751108268,-0.04579871913991751
Taiwan,China,0.039587023473961105,0.013235924292742627,710,713,1963,2892,1966,17,Use of force,5,NA,0,0,1,0.08128428882350525,0.0898348527569083,0.04169726534954414,0.07659892846416567
Viet Nam,Cambodia,0.5007509038569343,0.2629165340554272,811,817,1963,2729,1963,15,Use of force,5,0,0,0,1,0.4299129355328022,0.1568919073416107,-0.07083796832413214,-0.10602462671381649
"France,Monac",Brazil,0.01307497175343781,0.22404037326027892,140,220,1963,624,1963,8,Display of force,5,0,0,0,1,0.015609762091716573,0.18269091612789393,0.002534790338278763,-0.041349457132385
Greece,Turkey,0.5361984410374937,0.13025640102287137,640,350,1963,1279,1964,17,Use of force,5,2,0,0,1,0.5411852970352078,0.3038840262318989,0.00498685599771409,0.17362762520902755
UK,Indonesia,2.1178854176505981e-4,0.023695496495365894,850,200,1963,1070,1965,17,Use of force,5,4,0,0,1,0.002429067225229633,0.04096234492727085,0.002217278683464573,0.017266848431904954
UK,Haiti,0.007225956053095011,0.04959465545438074,41,200,1963,1002,1963,16,Use of force,5,0,0,0,1,0.007018858917422351,0.06256005688084311,-2.0709713567266044e-4,0.012965401426462367
Australia,Indonesia,0.003462768305185106,0.08940545729617445,850,900,1963,1070,1965,17,Use of force,5,4,0,0,1,0.0017591793963320558,0.16778846713752052,-0.0017035889088530503,0.07838300984134607
Algeria,Morocco,0.2130768201024301,0.5140957523753343,600,615,1963,1084,1963,17,Use of force,5,3,0,0,1,NA,NA,NA,NA
Morocco,Algeria,0.2130768201024301,0.5140957523753343,615,600,1963,1084,1963,17,Use of force,5,3,0,0,1,NA,NA,NA,NA
Egypt,Israel,0.010880527342350068,0.17904104912010124,666,651,1963,3377,1963,17,Use of force,5,NA,0,0,1,0.010277331123629755,0.13227240627198417,-6.03196218720313e-4,-0.046768642848117076
Ethiopia,Somalia,0.020142711096123117,0.38963605560035625,520,530,1963,1425,1964,17,Use of force,5,3,0,0,1,0.0027453787096047037,0.19376578261523544,-0.017397332386518412,-0.1958702729851208
Kenya,Somalia,3.040926788501596e-4,0.24778046872208906,520,501,1963,1426,1964,17,Use of force,5,NA,0,0,1,7.365950567602153e-4,0.13142370231904618,4.3250237791005565e-4,-0.11635676640304288
Somalia,Ethiopia,0.020142711096123117,0.38963605560035625,530,520,1963,1425,1964,17,Use of force,5,3,0,0,1,0.0027453787096047037,0.19376578261523544,-0.017397332386518412,-0.1958702729851208
Somalia,Kenya,3.040926788501596e-4,0.24778046872208906,501,520,1963,1426,1964,17,Use of force,5,NA,0,0,1,7.365950567602153e-4,0.13142370231904618,4.3250237791005565e-4,-0.11635676640304288
Jordan,Israel,0.006337427434342725,0.1503412665262222,666,663,1963,1019,1965,17,Use of force,5,1,0,0,1,0.01062548883613716,0.07281934014015848,0.0042880614017944355,-0.07752192638606373
