country.b,country.a,exp.comp,imp.comp,statea,stateb,year,dispnum3,endyear,hiact,hostlev,outcome,fatality,victor,loser,is.war,pb.exps,pb.imps,delta.exp.comp,delta.imp.comp
Iraq,Israel,-8.34060441204704e-5,0.04366021138890155,666,645,1966,1035,1967,20,War,2,6,1,0,1,-1.5712415875087111e-4,0.027240910050898477,-7.371811463040071e-5,-0.01641930133800307
Kuwait,Israel,1.6454786311989435e-4,0.053728330921263404,666,690,1966,1035,1967,20,War,2,6,1,0,1,2.477042054614369e-4,0.04839175138873636,8.315634234154254e-5,-0.005336579532527044
Saudi Arabia,Israel,-2.20306298578211e-4,0.0678047658934126,666,670,1966,1035,1967,20,War,2,6,1,0,1,-7.459777249245168e-5,0.055058973879711474,1.4570852608575933e-4,-0.012745792013701122
Czechoslovakia,Bulgaria,0.16621573011127233,0.3409542188874178,355,315,1968,346,1968,14,Use of force,1,0,1,0,1,0.21217255771937546,0.43377641086842955,0.04595682760810313,0.09282219198101177
Czechoslovakia,German Democratic Republic,0.2637821664634257,0.3953009164163319,265,315,1968,346,1968,14,Use of force,1,0,1,0,1,0.20467390672739474,0.30064447696174573,-0.05910825973603098,-0.09465643945458618
Czechoslovakia,Hungary,0.4455555061549907,0.5719116648287069,310,315,1968,346,1968,14,Use of force,1,0,1,0,1,0.4600072143995376,0.5220315288322642,0.014451708244546946,-0.0498801359964427
Czechoslovakia,Poland,0.3067686725317766,0.5320568747134021,290,315,1968,346,1968,14,Use of force,1,0,1,0,1,0.3066728923344505,0.5667404035480689,-9.578019732608967e-5,0.034683528834666744
Czechoslovakia,Fm USSR,0.20506393110654694,0.4523995104131984,365,315,1968,346,1968,14,Use of force,1,0,1,0,1,0.1662433045514769,0.5438672606545943,-0.03882062655507004,0.09146775024139592
Thailand,Cambodia,0.19296040031404565,0.22563787346726163,811,800,1970,1605,1970,0,No militarized action,3,0,1,0,1,0.14381545694042847,0.21983825324216252,-0.04914494337361719,-0.005799620225099111
Pakistan,India,0.319250631794141,0.5391192692778616,750,770,1971,1447,1971,20,War,2,6,1,0,1,0.1057216797706046,0.17405130321749626,-0.2135289520235364,-0.3650679660603653
Romania,Czechoslovakia,0.3377778151823145,0.4335452324759063,315,360,1971,1718,1971,7,Display of force,4,0,1,0,1,0.3435489915098432,0.47919273652563993,0.005771176327528715,0.04564750404973361
Romania,Hungary,0.4728543541219659,0.3660480077446787,310,360,1971,1718,1971,7,Display of force,4,0,1,0,1,0.6062274465090415,0.45678479020516166,0.13337309238707556,0.09073678246048295
Romania,Fm USSR,0.17853588636064177,0.3537456372666546,365,360,1971,1718,1971,7,Display of force,4,0,1,0,1,0.15118019459696894,0.3618938774152786,-0.027355691763672835,0.00814824014862403
Iraq,Kuwait,0.6408152454989197,0.1385870282594246,690,645,1972,1612,1973,17,Use of force,3,1,1,0,1,0.5077383647342769,0.21974461525188416,-0.13307688076464275,0.08115758699245956
UK,Iceland,0.015920901738267663,0.14838838009837751,395,200,1972,354,1973,16,Use of force,1,1,1,0,1,0.011028595744415294,0.051871975730805944,-0.00489230599385237,-0.09651640436757157
Syria,Israel,0.03966792679964839,0.05690326717335181,666,652,1973,3437,1974,16,Use of force,2,NA,1,0,1,0.08317051771728956,0.07406370579582666,0.04350259091764117,0.01716043862247485
Tanzania,Burundi,0.23162884445565898,0.026141058910238612,516,510,1973,1362,1973,17,Use of force,4,NA,1,0,1,0.2719830788731619,0.05882665116842869,0.04035423441750294,0.03268559225819008
Rwanda,Burundi,0.15925291123980864,0.4147434468244263,516,517,1973,1362,1973,17,Use of force,4,NA,1,0,1,0.7378399747420673,0.23384609840405737,0.5785870635022586,-0.18089734842036895
Greece,Turkey,0.28812109473443437,0.5563418424714223,640,350,1974,1293,1974,20,War,1,6,1,0,1,0.2057893835464286,0.24678906661254307,-0.08233171118800578,-0.3095527758588792
Cyprus,Turkey,0.014220579590072235,0.3163285915467777,640,352,1974,1293,1974,20,War,1,6,1,0,1,0.03736346892871736,0.6499650832028028,0.023142889338645122,0.33363649165602505
Viet Nam,China,0.0790905974437734,0.09400999204366463,710,817,1974,355,1974,17,Use of force,2,NA,1,0,1,0.059533578376868845,0.23329213421149206,-0.01955701906690456,0.13928214216782742
UK,Iceland,0.008472469746480577,0.047801364182766946,395,200,1975,619,1976,16,Use of force,1,0,1,0,1,0.011153451266121493,0.10134699361489269,0.002680981519640916,0.05354562943212574
"France,Monac",Libya,0.0013617958502672445,0.0955969064344749,620,220,1977,3631,1980,17,Use of force,1,NA,1,0,1,0.00175571215437919,0.07186051136590485,3.939163041119455e-4,-0.023736395068570046
Somalia,Ethiopia,0.03970906706153085,0.12646674220857793,530,520,1977,2069,1978,20,War,2,6,1,0,1,0.01577561896290528,0.06440071413927392,-0.02393344809862557,-0.062066028069304
Somalia,Cuba,0.0014562956954603655,0.017309674133862467,40,520,1977,2069,1978,20,War,2,6,1,0,1,3.1632503433269544e-5,0.02735081179956896,-0.001424663192027096,0.010041137665706492
Chad,Libya,-9.15030059161617e-5,0.11674210683175223,620,483,1977,3631,1980,17,Use of force,1,NA,1,0,1,-8.635140306811275e-5,0.06482689223759026,5.151602848048952e-6,-0.05191521459416197
USA,Fm USSR,0.1494749826335955,0.012319643743707514,365,2,1978,2223,1979,1,Threat to use force,4,0,1,0,1,0.05447114064335829,0.006188989353723878,-0.0950038419902372,-0.006130654389983636
Libya,Tanzania,-1.1182849490350473e-4,0.2695701041987539,510,620,1978,2141,1979,20,War,2,6,1,0,1,2.1628768117987166e-4,0.08496778574224889,3.281161760833764e-4,-0.184602318456505
Uganda,Tanzania,0.540070478257347,0.19457490443807954,510,500,1978,2141,1979,20,War,2,6,1,0,1,0.2419193225644631,0.06609885432728495,-0.29815115569288386,-0.1284760501107946
Iraq,Iran,0.544202839291617,0.364217804895043,630,645,1979,2115,1988,20,War,3,6,1,0,1,0.4703933615224671,0.5006260522034361,-0.07380947776914987,0.13640824730839313
