country.b,country.a,exp.comp,imp.comp,statea,stateb,year,dispnum3,endyear,hiact,hostlev,outcome,fatality,victor,loser,is.war,pb.exps,pb.imps,delta.exp.comp,delta.imp.comp
USA,Cuba,0.008529981776609295,0.002971381693124812,40,2,1983,3058,1983,0,No militarized action,1,3,0,1,1,0.001520541114212486,0.02311196064769008,-0.007009440662396809,0.020140578954565266
USA,Libya,-2.2441214346747407e-4,0.017305242378747466,620,2,1983,3072,1983,7,Display of force,3,0,0,1,1,3.8425983467323317e-4,0.3036105832585734,6.086719781407072e-4,0.2863053408798259
Israel,Egypt,0.003985778774884759,0.19302945372200764,651,666,1983,3384,1983,7,Display of force,3,0,0,1,1,0.0023873545960820357,0.06185817981192851,-0.0015984241788027237,-0.13117127391007913
Sudan,Libya,5.237254954243206e-4,0.17166881425375524,620,625,1983,3072,1983,7,Display of force,3,0,0,1,1,5.918523162435978e-4,0.15362379223071315,6.81268208192773e-5,-0.01804502202304209
Egypt,Libya,0.7057396302785625,0.1856140313219501,620,651,1983,3072,1983,7,Display of force,3,0,0,1,1,0.7988864732872001,0.16243001150882094,0.09314684300863763,-0.023184019813129148
Barbados,Cuba,-1.0704477964620144e-4,0.014435528717723425,40,53,1983,3058,1983,0,No militarized action,1,3,0,1,1,0.0034078651372031095,0.005336296360906077,0.003514909916849311,-0.009099232356817349
Jamaica,Cuba,0.0017760638593646329,0.0763290277380755,40,51,1983,3058,1983,0,No militarized action,1,3,0,1,1,0.0030721210455326494,0.033917667991517825,0.0012960571861680165,-0.04241135974655767
Sudan,Libya,5.918523162435978e-4,0.15362379223071315,620,625,1984,3051,1984,16,Use of force,3,0,0,1,1,-3.522694719081035e-5,0.11905076926366807,-6.270792634344082e-4,-0.03457302296704508
Egypt,Libya,0.7988864732872001,0.16243001150882094,620,651,1984,3051,1984,16,Use of force,3,0,0,1,1,0.8125229334325325,0.1653229275543459,0.013636460145332374,0.002892916045524968
USA,Libya,3.8425983467323317e-4,0.3036105832585734,620,2,1984,3051,1984,16,Use of force,3,0,0,1,1,4.8248201961640757e-4,0.11790756876039123,9.82221849431744e-5,-0.18570301449818216
USA,Iran,-1.4433919965431885e-4,0.06492980696647925,630,2,1985,3625,1986,7,Display of force,3,0,0,1,1,4.7681627505885435e-5,0.11512767098998884,1.9202082716020428e-4,0.05019786402350959
Kuwait,Iran,0.47103699799912535,0.15201453485986255,630,690,1985,3625,1986,7,Display of force,3,0,0,1,1,0.6554706279207442,0.12555428777793645,0.18443362992161882,-0.026460247081926097
Saudi Arabia,Iran,0.7557998963066621,0.14139235404420308,630,670,1985,3625,1986,7,Display of force,3,0,0,1,1,0.8386465477081221,0.19113683034215004,0.08284665140145997,0.049744476297946955
UK,Iran,0.3527241449952035,0.12891179152739596,630,200,1985,3625,1986,7,Display of force,3,0,0,1,1,0.34695890393411916,0.18961417875685727,-0.005765241061084336,0.06070238722946131
USA,Libya,-4.004067996481612e-4,0.10508588399515952,620,2,1986,3636,1986,16,Use of force,3,NA,0,1,1,-4.992841664969012e-4,0.09845547225873875,-9.887736684874006e-5,-0.00663041173642076
India,Sri Lanka,0.22221211478317568,0.16943882547381858,780,750,1987,2778,1987,8,Display of force,4,0,0,1,1,0.2201820967918255,0.2217712236697379,-0.0020300179913501915,0.05233239819591931
USA,Panama,0.008748529336550225,0.020194903878675785,95,2,1989,3901,1989,16,Use of force,2,3,0,1,1,0.020915402282111417,0.027736396642530258,0.012166872945561192,0.007541492763854473
Morocco,Iraq,-3.1389427003078885e-5,0.06739047551268679,645,600,1990,3957,1991,20,War,2,6,0,1,1,NA,NA,NA,NA
Morocco,Jordan,0.0708015980111314,0.0644764303105209,663,600,1990,3957,1991,0,No militarized action,2,6,0,1,1,NA,NA,NA,NA
Egypt,Iraq,0.23083531969603088,0.3906484283322952,645,651,1990,3957,1991,20,War,2,6,0,1,1,0.23731014468452877,0.010119174915089513,0.006474824988497885,-0.38052925341720567
Egypt,Jordan,0.0033940849679786568,0.469833355537786,663,651,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.011993215022067936,0.30111181241939766,0.008599130054089278,-0.16872154311838833
Niger,Iraq,0.0010204291703787987,0.11993333648824202,645,436,1990,3957,1991,20,War,2,6,0,1,1,-1.6968124789960494e-5,0.03079615026841179,-0.0010373972951687592,-0.08913718621983023
Niger,Jordan,0.0027176253287781007,0.12885795955317916,663,436,1990,3957,1991,0,No militarized action,2,6,0,1,1,5.777266114780363e-5,0.14614701470546299,-0.002659852667630297,0.017289055152283822
Senegal,Iraq,1.572352808240523e-4,0.19123262906386948,645,433,1990,3957,1991,20,War,2,6,0,1,1,-5.867472010360814e-5,0.10438268211856166,-2.1591000092766044e-4,-0.08684994694530782
Senegal,Jordan,0.12906763181072706,0.067929481085115,663,433,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.13370389045805808,0.1383942653763004,0.004636258647331026,0.0704647842911854
Sierra Leone,Iraq,-4.287993550792845e-5,0.196937592275152,645,451,1990,3957,1991,20,War,2,6,0,1,1,-2.5677702747314694e-5,0.05602656101521996,1.7202232760613754e-5,-0.14091103125993204
Sierra Leone,Jordan,-3.819153324951062e-5,0.14350414446249354,663,451,1990,3957,1991,0,No militarized action,2,6,0,1,1,4.8033818450109216e-4,0.2355930335286351,5.185297177506028e-4,0.09208888906614154
Canada,Iraq,0.20859473874956935,0.19969804412902256,645,20,1990,3957,1991,20,War,2,6,0,1,1,-6.585082981138454e-5,9.740128544763863e-4,-0.20866058957938075,-0.1987240312745462
Canada,Jordan,0.006644436444508152,0.04195515945408907,663,20,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.008308654774839087,0.08428947049614938,0.0016642183303309356,0.042334311042060306
USA,Iraq,-8.680177953569089e-5,0.1472766834313023,645,2,1990,3957,1991,20,War,2,6,0,1,1,2.0014624233115032e-4,0.007742307418356694,2.869480218668412e-4,-0.1395343760129456
USA,Jordan,0.019068884021599418,0.03790173715078538,663,2,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.012497802382804036,0.11891615189533684,-0.006571081638795382,0.08101441474455146
Argentina,Iraq,0.08107821410338938,0.04752102901823726,645,160,1990,3957,1991,20,War,2,6,0,1,1,-1.7695677594678353e-4,0.0023009942348275023,-0.08125517087933616,-0.04522003478340975
Argentina,Jordan,0.0020994856338876814,0.03552441108152353,663,160,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.0026121765713804047,0.0946056558570497,5.126909374927233e-4,0.059081244775526176
Bahrain,Iraq,0.0127262940600796,0.062115438249555927,645,692,1990,3957,1991,20,War,2,6,0,1,1,3.559948124449868e-5,0.06492590769698732,-0.012690694578835102,0.0028104694474313935
Bahrain,Jordan,0.0056251388818786005,0.053851743513402585,663,692,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.0044733416093900155,0.16227163767943006,-0.001151797272488585,0.10841989416602749
Kuwait,Iraq,0.5310721927938052,0.2639154709081389,645,690,1990,3957,1991,20,War,2,6,0,1,1,-5.286219653236939e-5,0.006890821422190519,-0.5311250549903376,-0.2570246494859484
Kuwait,Jordan,5.38850882061977e-4,0.06294306007004621,663,690,1990,3957,1991,0,No militarized action,2,6,0,1,1,1.6608381794595722e-4,0.18797971768510344,-3.7276706411601976e-4,0.12503665761505722
Oman,Iraq,0.2816753200333563,0.13385496053673793,645,698,1990,3957,1991,20,War,2,6,0,1,1,-3.167406657225359e-5,0.006066587367585888,-0.28170699409992855,-0.12778837316915204
Oman,Jordan,3.3279673429301415e-4,0.03937136723843284,663,698,1990,3957,1991,0,No militarized action,2,6,0,1,1,8.208550690430978e-4,0.1625854109044278,4.880583347500837e-4,0.12321404366599495
Qatar,Iraq,0.2842568544804458,0.16175033629020666,645,694,1990,3957,1991,20,War,2,6,0,1,1,-2.5764036457035886e-5,0.00788320379606448,-0.28428261851690284,-0.1538671324941422
Qatar,Jordan,1.521564734702938e-4,0.04503671210269919,663,694,1990,3957,1991,0,No militarized action,2,6,0,1,1,3.559217308774908e-4,0.26246114085683353,2.0376525740719697e-4,0.21742442875413434
Saudi Arabia,Iraq,0.7504266451780578,0.16119046332934575,645,670,1990,3957,1991,20,War,2,6,0,1,1,0.010403467847778436,0.01164390330399566,-0.7400231773302793,-0.14954656002535008
Saudi Arabia,Jordan,8.163321282931934e-4,0.0584677538094919,663,670,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.0027066399030947303,0.19283106479129727,0.001890307774801537,0.13436331098180537
